Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank
2022-11-14,000060,메리츠화재,KOSPI,,34250,2,-150,-0.44,34850,34850,33150,160853,5492229500,3897067750000,113783000,STK,83
2022-11-14,029780,삼성카드,KOSPI,,31850,1,450,1.43,31350,32050,31350,87140,2774091150,3690105678350,115858891,STK,84
2022-11-14,241560,두산밥캣,KOSPI,,36650,1,900,2.52,35800,37050,35800,257537,9465111550,3674131933900,100249166,STK,85
2022-11-14,138040,메리츠금융지주,KOSPI,,28700,1,800,2.87,28100,28700,27050,218014,6111277400,3661311291400,127571822,STK,86
2022-11-14,010620,현대미포조선,KOSPI,,90000,2,-4000,-4.26,94500,94600,90000,541032,49230171200,3594793410000,39942149,STK,87
2022-11-14,137310,에스디바이오센서,KOSPI,,34800,1,900,2.65,34000,35150,33550,426507,14793055200,3593843084400,103271353,STK,88
2022-11-14,012450,한화에어로스페이스,KOSPI,,70900,2,-2200,-3.01,72800,72800,70000,913079,64815982300,3589667000000,50630000,STK,89
2022-11-14,293490,카카오게임즈,KOSDAQ,우량기업부,43600,2,-2000,-4.39,46000,46100,43150,1222208,54446669800,3586571708400,82260819,KSQ,90
2022-11-14,004990,롯데지주,KOSPI,,33500,3,0,0.0,33400,33800,32700,318099,10634792500,3514459439500,104909237,STK,91
2022-11-14,086520,에코프로,KOSDAQ,우량기업부,135100,1,1800,1.35,134600,137700,133600,743068,100843256800,3384458190400,25051504,KSQ,92
2022-11-14,128940,한미약품,KOSPI,,266500,1,3000,1.14,263500,268500,261500,31192,8292620500,3282739271500,12317971,STK,93
2022-11-14,307950,현대오토에버,KOSPI,,118500,1,1500,1.28,117000,119500,117000,94317,11186655000,3249741867000,27423982,STK,94
2022-11-14,036460,한국가스공사,KOSPI,,35100,2,-450,-1.27,35700,35850,35050,458827,16234003650,3240186300000,92313000,STK,95
2022-11-14,005940,NH투자증권,KOSPI,,9600,1,30,0.31,9580,9650,9540,375674,3608626860,3183992841600,331665921,STK,96
2022-11-14,071050,한국금융지주,KOSPI,,57000,2,-200,-0.35,57200,57800,56700,199864,11409662000,3176381544000,55725992,STK,97
